simId,facilityCost,dataCost,knowledgeCost,measuringCost,nNcProsumers,totalut,endures,startroles,endroles,facilityTransfers,facilityInvoices,equity
149,1,0.14,0.4,0.0,0,968.7399999999996,1,23,21,1255.6000000000518,354.8000000000011,-0.07357944903629465
150,1,0.14,0.4,0.1,0,-234.56000000000068,1,23,13,133.82000000000085,43.8,1.284115213833767
151,1,0.14,0.5,0.0,0,524.0800000000013,1,23,18,1054.7999999999956,295.1,-0.10266846905764826
152,1,0.14,0.5,0.1,0,-234.52000000000058,1,23,13,121.96000000000058,38.7,1.283120949564512
153,1,0.14,0.6,0.0,0,1200.0200000000273,1,23,23,1691.9999999999777,372.4,-1.2835048347039417
154,1,0.14,0.6,0.1,0,-235.6400000000006,1,23,13,126.2000000000007,39.0,1.2864188994629622
155,1,0.14,0.7,0.0,0,42.41799999999994,1,23,13,534.4599999999934,153.8000000000002,-0.245874382116418
156,1,0.14,0.7,0.1,0,-235.70000000000059,1,23,13,125.34000000000076,38.1,1.2854723200877425
157,1,0.14,0.8,0.0,0,-44.980000000000054,1,23,13,190.74000000000095,56.599999999999994,1.2404993685498975
158,1,0.14,0.8,0.1,0,-234.04000000000053,1,23,13,119.52000000000056,35.9,1.28226904938596
159,1,0.14,1.0,0.0,0,-45.620000000000076,1,23,13,200.04000000000102,57.8,1.3657589907775343
160,1,0.14,1.0,0.1,0,-233.62000000000057,1,23,13,118.5200000000006,34.9,1.28378809392159
161,1,0.16,0.0,0.0,0,-16.700000000000017,1,23,13,52.86545454545514,44.8,3.7775725015287307
162,1,0.16,0.0,0.1,0,-215.67600000000027,1,23,13,52.309090909091424,44.8,1.199923252890639
163,1,0.16,0.1,0.0,0,608.4659999999967,1,23,23,680.7200000000279,309.4000000000003,0.5690206094800492
164,1,0.16,0.1,0.1,0,411.2639999999981,1,23,23,680.7200000000279,309.4000000000003,0.5584962435202285
165,1,0.16,0.2,0.0,0,1280.5819999999908,1,23,23,1107.800000000005,397.0,0.7581902368565111
166,1,0.16,0.2,0.1,0,1092.9959999999903,1,23,23,1107.8000000000059,397.0,0.7857254137538057
167,1,0.16,0.3,0.0,0,1286.8800000000078,1,23,23,1306.7999999999392,397.0,0.5650118240546991
168,1,0.16,0.3,0.1,0,-228.18000000000032,1,23,13,145.88000000000022,47.4,1.278814344186479
169,1,0.16,0.4,0.0,0,1136.5999999999951,1,23,22,1395.0000000000914,374.7999999999995,0.0047885103439215815
170,1,0.16,0.4,0.1,0,-231.42000000000053,1,23,13,131.66000000000068,40.3,1.2804036357466062
171,1,0.16,0.5,0.0,0,675.9400000000012,1,23,19,1222.0000000000086,316.39999999999986,-0.19316502383552092
172,1,0.16,0.5,0.1,0,-233.30000000000047,1,23,13,132.60000000000045,39.0,1.281159381089658
173,1,0.16,0.6,0.0,0,813.4200000000089,1,23,20,1431.8999999999974,329.499999999999,-0.9469269813510417
174,1,0.16,0.6,0.1,0,-232.0000000000004,1,23,13,123.08000000000028,35.4,1.2787703195248579
175,1,0.16,0.7,0.0,0,953.9800000000034,1,23,21,1659.200000000089,341.5000000000011,-1.590229712469788
176,1,0.16,0.7,0.1,0,-231.86000000000047,1,23,13,122.08000000000031,34.4,1.280459814979254
177,1,0.16,0.8,0.0,0,1169.339999999974,1,23,23,2013.7999999999722,365.0,-2.290176842401219
178,1,0.16,0.8,0.1,0,-230.3400000000004,1,23,13,116.46000000000024,32.3,1.2783951499170232
179,1,0.16,1.0,0.0,0,-9.099999999999962,1,23,13,406.9600000000032,103.79999999999994,5.671224088009672
180,1,0.16,1.0,0.1,0,-229.92000000000044,1,23,13,115.46000000000028,31.3,1.279929913833104
181,1,0.18,0.0,0.0,0,-18.61000000000002,1,23,13,55.290909090909715,44.5,3.4197691243004895
182,1,0.18,0.0,0.1,0,-217.38400000000024,1,23,13,55.29090909090979,44.5,1.2013640040431466
183,1,0.18,0.1,0.0,0,478.14999999999867,1,23,23,672.240000000029,297.7000000000003,0.5401882787685119
184,1,0.18,0.1,0.1,0,266.9779999999991,1,23,23,672.240000000029,297.7000000000003,0.47629999304833315
185,1,0.18,0.2,0.0,0,1297.7800000000034,1,23,23,1147.400000000008,397.0,0.6232460534803117
186,1,0.18,0.2,0.1,0,1082.9199999999978,1,23,23,1147.400000000007,397.0,0.62803708204039
187,1,0.18,0.3,0.0,0,1263.2600000000061,1,23,23,1346.3999999999378,397.0,0.6862744432469251
188,1,0.18,0.3,0.1,0,947.9400000000062,1,23,22,1274.6000000000213,378.9999999999995,0.5359418877283162
189,1,0.18,0.4,0.0,0,1260.759999999988,1,23,23,1525.900000000041,393.1,0.046906098519671646
190,1,0.18,0.4,0.1,0,-229.1000000000006,1,23,13,136.98000000000064,39.5,1.2733103382848647
191,1,0.18,0.5,0.0,0,1257.2600000000016,1,23,23,1678.4000000000146,386.0,-0.5141279691655396
192,1,0.18,0.5,0.1,0,-229.84000000000054,1,23,13,130.40000000000043,36.0,1.2727141832741065
193,1,0.18,0.6,0.0,0,1233.9000000000256,1,23,23,1811.0999999999651,378.1,-1.0505024186376066
194,1,0.18,0.6,0.1,0,-229.10000000000042,1,23,13,120.8000000000004,32.5,1.273163134617322
195,1,0.18,0.7,0.0,0,1212.6600000000274,1,23,23,1966.4000000000865,375.0,-1.6652199929933569
196,1,0.18,0.7,0.1,0,-229.0600000000005,1,23,13,119.80000000000041,31.5,1.2749231740694749
197,1,0.18,0.8,0.0,0,1192.3399999999788,1,23,23,2071.3999999999737,367.0,-2.1329794693128465
198,1,0.18,0.8,0.1,0,-227.9000000000004,1,23,13,114.00000000000026,29.5,1.2739041586099646
199,1,0.18,1.0,0.0,0,-6.399999999999965,1,23,13,407.6599999999991,96.70000000000003,7.550004322754235
200,1,0.18,1.0,0.1,0,-227.1800000000004,1,23,13,113.0000000000003,28.5,1.2753000020885619
201,1,0.2,0.0,0.0,0,-20.21200000000002,1,23,13,55.44132231405005,44.2,3.1554419763800787
202,1,0.2,0.0,0.1,0,-219.1840000000003,1,23,13,55.44132231405005,44.2,1.2030117335301043
203,1,0.2,0.1,0.0,0,411.7539999999988,1,23,23,663.2000000000274,287.8999999999998,0.5010681720314845
204,1,0.2,0.1,0.1,0,217.74999999999932,1,23,23,663.2000000000273,287.8999999999998,0.46138246082561185
205,1,0.2,0.2,0.0,0,1175.9360000000017,1,23,23,1144.9000000000335,383.0000000000004,0.5866955797926028
206,1,0.2,0.2,0.1,0,972.9000000000021,1,23,23,1144.9000000000335,383.0000000000004,0.583356024503028
207,1,0.2,0.3,0.0,0,1291.5000000000077,1,23,23,1385.9999999999454,397.0,0.8354419552402597
208,1,0.2,0.3,0.1,0,1075.9400000000046,1,23,23,1385.9999999999468,397.0,0.7224707740359162
209,1,0.2,0.4,0.0,0,1289.1399999999933,1,23,23,1585.000000000058,397.0,0.15848233258094557
210,1,0.2,0.4,0.1,0,-226.9000000000005,1,23,13,139.50000000000074,38.1,1.2670163741692182
211,1,0.2,0.5,0.0,0,1258.1600000000033,1,23,23,1727.0000000000232,387.5,-0.40131420689583397
212,1,0.2,0.5,0.1,0,-227.8800000000004,1,23,13,128.0000000000004,33.4,1.2723672532040584
213,1,0.2,0.6,0.0,0,1230.6200000000254,1,23,23,1870.999999999969,381.0,-0.9779816763923033
214,1,0.2,0.6,0.1,0,-227.90000000000032,1,23,13,126.50000000000033,32.0,1.2714363181139707
215,1,0.2,0.7,0.0,0,1102.10000000001,1,23,22,1900.6000000001293,361.7999999999995,-1.4444230995267158
216,1,0.2,0.7,0.1,0,-226.3800000000004,1,23,13,118.20000000000036,29.1,1.2711479698099746
217,1,0.2,0.8,0.0,0,936.7599999999908,1,23,21,1866.6000000000088,339.8000000000011,-1.881571597905825
218,1,0.2,0.8,0.1,0,-226.7000000000004,1,23,13,118.70000000000022,28.7,1.2685569477169387
219,1,0.2,1.0,0.0,0,-26.099999999999884,1,23,13,316.50000000000045,71.5,2.0846173383241298
220,1,0.2,1.0,0.1,0,-224.86000000000027,1,23,13,111.60000000000024,26.3,1.2676378756145743
221,1,0.22,0.0,0.0,0,-21.50000000000002,1,23,13,55.82148760330631,44.0,2.9748957848861455
222,1,0.22,0.0,0.1,0,-220.62000000000035,1,23,13,55.82148760330631,44.0,1.204236513582053
223,1,0.22,0.1,0.0,0,357.1139999999988,1,23,23,652.960000000022,279.8000000000001,0.5130561559607125
224,1,0.22,0.1,0.1,0,-45.69199999999996,1,23,13,385.70000000000647,164.3000000000001,2.6146438088095767
225,1,0.22,0.2,0.0,0,1054.2859999999946,1,23,23,1130.480000000052,367.0000000000004,0.5863750817789545
226,1,0.22,0.2,0.1,0,855.7499999999985,1,23,23,1130.4800000000523,367.0000000000004,0.5801136660853055
227,1,0.22,0.3,0.0,0,1286.759999999996,1,23,23,1425.5999999999538,397.0,0.9656605787039952
228,1,0.22,0.3,0.1,0,1085.5999999999938,1,23,23,1425.5999999999538,397.0,0.8869849736757955
229,1,0.22,0.4,0.0,0,1290.1999999999946,1,23,23,1624.6000000000702,397.0,0.2933293077847523
230,1,0.22,0.4,0.1,0,44.026000000000494,1,23,17,843.9599999999897,218.30000000000015,-2.6724676758801236
231,1,0.22,0.5,0.0,0,1261.6800000000003,1,23,23,1777.400000000032,389.3,-0.2903003009654124
232,1,0.22,0.5,0.1,0,-225.26000000000042,1,23,13,153.7600000000002,38.0,1.264555514930966
233,1,0.22,0.6,0.0,0,1238.4800000000218,1,23,23,1923.1999999999755,382.8,-0.8613958919882012
234,1,0.22,0.6,0.1,0,-227.4800000000004,1,23,13,133.12000000000046,31.8,1.2638023534305682
235,1,0.22,0.7,0.0,0,1217.1400000000178,1,23,23,2052.000000000098,375.8,-1.390341681218798
236,1,0.22,0.7,0.1,0,-226.7200000000005,1,23,13,146.20000000000044,33.6,1.26573043994004
237,1,0.22,0.8,0.0,0,1203.6599999999737,1,23,23,2204.5999999999854,373.0,-1.9866315818839624
238,1,0.22,0.8,0.1,0,-227.06000000000043,1,23,13,131.1200000000004,29.8,1.2671198926236513
239,1,0.22,1.0,0.0,0,43.17999999999989,1,23,13,614.6000000000015,128.0,-0.27759150907009666
240,1,0.22,1.0,0.1,0,-226.3400000000005,1,23,13,161.0000000000001,35.0,1.2668548958651986
241,1,0.24,0.0,0.0,0,-22.132000000000023,1,23,13,56.81520661157097,43.9,2.89952048885232
242,1,0.24,0.0,0.1,0,-221.1400000000003,1,23,13,56.59702479338901,43.8,1.2047524014407918
243,1,0.24,0.1,0.0,0,311.66999999999877,1,23,23,647.4000000000243,273.3999999999997,0.4983767450886859
244,1,0.24,0.1,0.1,0,-149.20599999999996,1,23,13,211.37999999999766,88.4,1.44653312265371
245,1,0.24,0.2,0.0,0,967.2659999999936,1,23,23,1118.9800000000566,353.70000000000044,0.5783884330425733
246,1,0.24,0.2,0.1,0,768.519999999998,1,23,23,1118.9800000000566,353.70000000000044,0.5707423468194964
247,1,0.24,0.3,0.0,0,1276.819999999993,1,23,23,1465.1999999999543,397.0,0.9002080119972978
248,1,0.24,0.3,0.1,0,1071.399999999994,1,23,23,1465.1999999999543,397.0,0.9577472447872497
249,1,0.24,0.4,0.0,0,1276.8999999999953,1,23,23,1664.200000000075,397.0,0.41704853410458587
250,1,0.24,0.4,0.1,0,596.6919999999999,1,23,20,1338.880000000026,331.399999999999,0.368296731936692
251,1,0.24,0.5,0.0,0,1264.5600000000004,1,23,23,1829.6000000000354,391.4,-0.18579916007053
252,1,0.24,0.5,0.1,0,-205.346,1,23,13,231.3999999999997,54.29999999999999,1.2912164902517016
253,1,0.24,0.6,0.0,0,1250.2400000000255,1,23,23,1973.9999999999754,384.4,-0.7354076885864675
