engine,agents,sessions,motions,actions,narrative,holdsAt,memory
drools,7,1,17,189,93271019,125653,17324328
drools,7,1,40,442,120380307,112797,17579976
drools,7,1,92,1014,284073935,116005,18222824
drools,7,1,35,387,137726530,117352,17520896
drools,7,1,11,123,86261179,121453,17251232
drools,7,1,61,673,164567788,104320,17828728
drools,7,1,45,497,134010672,103420,17638800
drools,7,1,62,684,216946477,105502,17840584
drools,7,1,26,288,100954023,105985,17401312
drools,7,1,57,629,157808425,91065,17782344
drools,7,1,12,134,54796508,120485,17263712
drools,7,1,94,1036,257052884,93548,18247048
drools,7,1,1,13,26616370,131687,17232480
drools,7,1,71,783,184392780,113815,17976160
drools,7,1,69,761,222534385,103853,17936024
drools,7,1,87,959,242713762,110755,18164760
drools,7,1,70,772,199271888,111023,17964344
drools,7,1,38,420,147252448,116848,17557056
drools,7,1,48,530,187510872,116085,17674904
drools,7,1,39,431,121457348,105227,17568736
drools,7,1,46,508,141039360,102003,17651304
drools,7,1,20,222,82020042,109018,17329824
drools,7,1,82,904,258881131,116505,18105832
drools,7,1,84,926,253133041,92386,18129344
drools,7,1,2,24,30458491,141012,17220816
drools,7,1,64,706,191767042,100830,17864864
drools,7,1,43,475,132589586,97460,17615936
drools,7,1,10,112,47567242,133764,17240264
drools,7,1,60,662,167797660,100718,17817656
drools,7,1,90,992,240138031,112578,18199944
drools,7,1,44,486,122272102,117467,17627800
drools,7,1,74,816,191690335,105600,18011464
drools,7,1,80,882,287564101,133092,18082232
drools,7,1,53,585,139954926,100365,17735224
drools,7,1,8,90,44609388,145297,17245936
drools,7,1,48,530,153390281,98262,17674816
drools,7,1,10,112,53361467,137640,17240360
drools,7,1,69,761,294277878,116858,17936024
drools,7,1,72,794,213909678,107320,17987752
drools,7,1,13,145,74374534,133492,17275864
drools,7,1,97,1069,331539211,104215,18287040
drools,7,1,27,299,118182907,96148,17413080
drools,7,1,1,13,27181838,135157,17232392
drools,7,1,2,24,66234768,146670,17220768
drools,7,1,88,970,255342863,107530,18176456
drools,7,1,21,233,77216746,103455,17341536
drools,7,1,55,607,151677652,111073,17758784
drools,7,1,28,310,122437634,101713,17424768
drools,7,1,26,288,121116916,92238,17401216
drools,7,1,93,1025,252189624,100632,18235416
drools,7,1,22,244,74716230,106650,17353344
drools,7,1,99,1091,268720679,103995,18310680
drools,7,1,95,1047,249274937,100006,18258920
drools,7,1,40,442,127478365,111604,17580704
drools,7,1,24,266,80111686,99623,17376840
drools,7,1,59,651,183946125,94060,17805880
drools,7,1,100,1102,253931275,107192,18322376
drools,7,1,49,541,193369256,116915,17688128
drools,7,1,89,981,320593069,101923,18188224
drools,7,1,79,871,238541559,101083,18070504
drools,7,1,3,35,32610078,131579,17220000
drools,7,1,42,464,105191249,115394,17604096
drools,7,1,39,431,95779320,107925,17568824
drools,7,1,57,629,195582570,100378,17782336
drools,7,1,58,640,171160784,110868,18296216
drools,7,1,51,563,136769015,94110,17711680
drools,7,1,41,453,151398827,96278,17592400
drools,7,1,56,618,148157047,104268,17770648
drools,7,1,54,596,202452952,102378,17747040
drools,7,1,92,1014,245775759,94878,18223832
drools,7,1,18,200,74028816,143192,17338672
drools,7,1,23,255,132831500,94858,17365864
drools,7,1,67,739,182388505,113347,17913024
drools,7,1,30,332,139571836,104848,17449064
drools,7,1,77,849,219972447,104870,18047984
drools,7,1,91,1003,245663984,127690,18212984
drools,7,1,71,783,251977507,157557,17977392
drools,7,1,37,409,97154651,106495,17546432
drools,7,1,45,497,137152228,94428,17640752
drools,7,1,6,68,41662262,137550,17229448
drools,7,1,90,992,289945885,95603,18201272
drools,7,1,9,101,49247434,133977,17260824
drools,7,1,98,1080,299535033,98440,18299992
drools,7,1,70,772,213623912,98158,17965624
drools,7,1,65,717,175067208,94766,17881760
drools,7,1,4,46,52591378,130855,17215304
drools,7,1,73,805,261934897,108077,18000888
drools,7,1,14,156,59199597,139982,17288824
drools,7,1,52,574,148526258,115725,17724632
drools,7,1,63,695,165942305,95640,17854256
drools,7,1,33,365,112272529,107710,17491064
drools,7,1,78,860,197444480,96158,18059904
drools,7,1,35,387,99676726,100926,17522800
drools,7,1,47,519,152412442,102183,17664168
drools,7,1,38,420,104776206,108475,17558240
drools,7,1,20,222,123124826,104048,17330912
drools,7,1,50,552,128282310,104797,17701096
drools,7,1,19,211,79756753,147692,18242040
drools,7,1,7,79,41052146,115183,17234304
drools,7,1,17,189,69258308,117680,17327216
drools,7,1,62,684,184908253,91588,17842328
drools,7,1,82,904,247193015,100825,18106960
drools,7,1,76,838,234188615,80923,18036576
drools,7,1,12,134,55066830,152306,17265032
drools,7,1,66,728,236911789,121825,17902104
drools,7,1,43,475,115953301,113625,17617328
drools,7,1,5,57,44639679,147854,17224768
drools,7,1,85,937,231469925,132229,18142560
drools,7,1,25,277,122760584,145877,17390840
drools,7,1,46,508,156749839,103930,17652600
drools,7,1,32,354,97127054,113672,17473280
drools,7,1,75,827,236572564,102330,18024856
drools,7,1,36,398,108339770,110887,17534800
drools,7,1,94,1036,253126808,99728,18248400
drools,7,1,96,1058,245941823,106792,18272152
drools,7,1,68,750,220341045,105245,17925656
drools,7,1,11,123,51900838,168289,17253360
drools,7,1,34,376,144944994,104277,17502984
drools,7,1,64,706,247287604,122372,17866104
drools,7,1,81,893,263704160,106607,18095328
drools,7,1,86,948,230847210,99005,18154296
drools,7,1,83,915,355716390,120117,18119064
drools,7,1,29,321,149583281,87150,17940368
drools,7,1,84,926,227532155,95323,18633464
drools,7,1,16,178,85191434,144337,17817232
drools,7,1,60,662,167016663,111343,18321712
drools,7,1,87,959,251369510,94816,18668624
drools,7,1,15,167,60548625,128350,17803384
drools,7,1,31,343,86754495,115488,17964064
drools,7,1,61,673,159221559,110440,18333488
drools,7,1,13,145,68543914,149147,17779824
drools,7,1,39,431,143996604,106395,18072784
drools,7,1,22,244,79965977,94560,17857256
drools,7,1,11,123,72679392,137057,17755888
drools,7,1,87,959,327871132,163241,18668672
drools,7,1,63,695,155008197,107665,18356960
drools,7,1,59,651,185848400,97628,18309936
drools,7,1,34,376,96339220,112182,18005520
drools,7,1,35,387,128995912,125205,18025504
drools,7,1,97,1069,420059558,115343,18790936
drools,7,1,17,189,71068683,142459,17829912
drools,7,1,14,156,65705957,170339,17791456
drools,7,1,90,992,356185503,97005,18704392
drools,7,1,95,1047,312933325,146017,18763272
drools,7,1,5,57,38388291,124672,17724448
drools,7,1,98,1080,260733708,99610,18803208
drools,7,1,19,211,74177160,142499,17850328
drools,7,1,74,816,208014758,119615,18515856
drools,7,1,80,882,369214027,106333,18586576
drools,7,1,58,640,163201015,99780,18298504
drools,7,1,42,464,169333017,105947,18108408
drools,7,1,20,222,103254837,95554,17834032
drools,7,1,38,420,104591365,97965,18061448
drools,7,1,60,662,149307657,112640,18322448
drools,7,1,73,805,204907143,144487,18504568
drools,7,1,68,750,213969110,135855,18429088
drools,7,1,51,563,165546889,117247,18216664
drools,7,1,12,134,80151531,118023,17768448
drools,7,1,7,79,40823277,130852,17738104
drools,7,1,37,409,110204536,121450,18050200
drools,7,1,49,541,155534772,108787,18193008
drools,7,1,33,365,119448122,96160,17994776
drools,7,1,16,178,57390462,134394,17818128
drools,7,1,84,926,277710100,106698,18634320
drools,7,1,62,684,171023581,105520,18346136
drools,7,1,1,13,24967778,117052,17737368
drools,7,1,52,574,162592672,94168,18228280
drools,7,1,89,981,243860172,97676,18693104
drools,7,1,8,90,64499608,144542,17750832
drools,7,1,53,585,138812651,111145,18240024
drools,7,1,79,871,259172945,112525,18575256
drools,7,1,99,1091,367856309,108617,18815416
drools,7,1,78,860,255982553,137822,18563664
drools,7,1,26,288,82677943,113437,17906144
drools,7,1,23,255,83532699,103257,17870104
drools,7,1,56,618,145571650,116775,18275544
drools,7,1,65,717,177002344,101643,18385624
drools,7,1,15,167,79655154,191711,17804312
drools,7,1,100,1102,250609683,109832,18827248
drools,7,1,3,35,64455180,135924,17724984
drools,7,1,40,442,145517992,103760,18085536
drools,7,1,29,321,109650607,100978,17941520
drools,7,1,32,354,107040751,94220,17976792
drools,7,1,31,343,107631816,114735,17964976
drools,7,1,71,783,201385057,107033,18481112
drools,7,1,50,552,180243893,104920,18204808
drools,7,1,10,112,59622286,120826,17745304
drools,7,1,24,266,86983083,108963,17881624
drools,7,1,46,508,125946277,91545,18156248
drools,7,1,77,849,231727724,120202,18551736
drools,7,1,96,1058,310492062,105072,18775448
drools,7,1,70,772,272501013,109587,18469240
drools,7,1,72,794,220351959,102775,18492792
drools,7,1,91,1003,282732959,97519,18716664
drools,7,1,75,827,237898457,104587,18528336
drools,7,1,9,101,65237549,226160,17764736
drools,7,1,92,1014,259530396,90298,18728472
drools,7,1,36,398,100741457,102713,18038296
drools,7,1,21,233,81477362,105250,17846424
drools,7,1,82,904,260344003,79886,18610768
drools,7,1,93,1025,227988554,101793,18740216
drools,7,1,4,46,56813046,163503,17719016
drools,7,1,64,706,164094360,100130,18369656
drools,7,1,83,915,297843467,107482,18622392
drools,7,1,44,486,114166840,89063,18132512
drools,7,1,88,970,304182531,93850,18681288
drools,7,1,55,607,204113488,94475,18263760
drools,7,1,61,673,163145687,111252,18334328
drools,7,1,76,838,191471227,116192,18540120
drools,7,1,85,937,253944531,108065,18646008
drools,7,1,94,1036,247272610,99562,18752000
drools,7,1,41,453,117412442,103098,18097272
drools,7,1,48,530,123882859,107450,18179648
drools,7,1,67,739,244762772,98958,18417272
drools,7,1,54,596,163694422,98974,18251832
drools,7,1,25,277,88570942,118189,17894328
drools,7,1,45,497,153539194,92646,18144392
drools,7,1,69,761,215996325,96170,18440824
drools,7,1,27,299,83301923,128994,17917784
drools,7,1,81,893,297305770,111410,18598856
drools,7,1,6,68,55705776,138740,17733168
drools,7,1,18,200,68807923,127963,17842912
drools,7,1,47,519,124798793,96585,18167832
drools,7,1,28,310,84673343,134612,17929752
drools,7,1,66,728,192492176,106260,18405496
drools,7,1,57,629,185946851,102562,17784528
drools,7,1,30,332,93403201,132502,17450512
drools,7,1,43,475,160344451,98656,17618128
drools,7,1,2,24,47222510,155202,17222872
drools,7,1,86,948,239114605,106560,18155184
drools,7,1,51,563,126484959,148564,17713824
drools,7,1,87,959,279914220,114037,18166864
drools,7,1,96,1058,314188688,117072,18272840
drools,7,1,23,255,84398584,118162,17367400
drools,7,1,44,486,128727719,118638,17629992
drools,7,1,1,13,25377312,128940,17234616
drools,7,1,99,1091,318318816,90350,18312872
drools,7,1,58,640,163821265,105517,17796336
