engine,agents,sessions,motions,actions,narrative,holdsAt,memory
rule,7,1,6,68,3509857,495,29530528
rule,7,1,6,68,4360424,450,32214912
rule,7,1,6,68,3579660,465,32214912
rule,7,1,6,68,3572817,445,32214912
rule,7,1,6,68,3628675,452,32214912
rule,7,1,6,68,5797991,552,34899792
rule,7,1,7,79,4184952,458,34899792
rule,7,1,7,79,4162455,527,34899792
rule,7,1,7,79,4752644,480,34899792
rule,7,1,7,79,4060880,415,37584672
rule,7,1,7,79,4012698,437,37584672
rule,7,1,7,79,4703932,683,37584672
rule,7,1,7,79,4186173,455,37584672
rule,7,1,7,79,4376350,485,40269048
rule,7,1,7,79,5094054,473,40269048
rule,7,1,7,79,4425442,503,40269048
rule,7,1,8,90,5158883,463,40269048
rule,7,1,8,90,6590127,973,42953432
rule,7,1,8,90,13388295,730,42953432
rule,7,1,8,90,4795294,450,42953432
rule,7,1,8,90,15224257,650,45637832
rule,7,1,8,90,4745036,540,45637832
rule,7,1,8,90,15371815,798,45637832
rule,7,1,8,90,15628496,725,48322208
rule,7,1,8,90,4448399,413,48322208
rule,7,1,8,90,15107557,732,48322208
rule,7,1,9,101,4790482,425,51006608
rule,7,1,9,101,10663645,865,51006608
rule,7,1,9,101,5695222,750,51006608
rule,7,1,9,101,17901762,780,53691488
rule,7,1,9,101,4741731,443,53691488
rule,7,1,9,101,15914476,837,53691488
rule,7,1,9,101,14493196,980,56375888
rule,7,1,9,101,5470115,730,56375888
rule,7,1,9,101,15020301,1408,59060272
rule,7,1,9,101,5746043,805,59060272
rule,7,1,10,112,13092018,565,59060272
rule,7,1,10,112,10480070,1183,61744656
rule,7,1,10,112,5174699,562,61744656
rule,7,1,10,112,16850324,643,64429032
rule,7,1,10,112,4838308,570,64429032
rule,7,1,10,112,14093274,765,64429032
rule,7,1,10,112,5053513,550,67113416
rule,7,1,10,112,15911023,795,67113416
rule,7,1,10,112,5091962,1123,69797800
rule,7,1,10,112,17426918,1225,69797800
rule,7,1,11,123,16367910,1097,72482184
rule,7,1,11,123,5485397,683,72482184
rule,7,1,11,123,16172545,960,75167576
rule,7,1,11,123,5434765,602,77852040
rule,7,1,11,123,16450153,825,80537432
rule,7,1,11,123,7960834,827,80537432
rule,7,1,11,123,25391250,895,83221808
rule,7,1,11,123,5143877,553,83221808
rule,7,1,11,123,16516119,935,85906192
rule,7,1,11,123,5874040,1028,85906192
rule,7,1,12,134,5978859,1437,88590576
rule,7,1,12,134,12407203,1215,88590576
rule,7,1,12,134,7842091,838,91274960
rule,7,1,12,134,6863533,882,91274960
rule,7,1,12,134,7961508,1085,93959344
rule,7,1,12,134,7828457,968,93959344
rule,7,1,12,134,18543443,1585,96643776
rule,7,1,12,134,17968878,1100,96643776
rule,7,1,12,134,18096022,1383,99328160
rule,7,1,12,134,19042455,1147,102012536
rule,7,1,13,145,17393896,33223,102012536
rule,7,1,13,145,7336113,240,104696920
rule,7,1,13,145,15494498,362,104696920
rule,7,1,13,145,7147489,267,107381304
rule,7,1,13,145,6965113,248,110065688
rule,7,1,13,145,6261764,295,110065688
rule,7,1,13,145,6926658,303,112750072
rule,7,1,13,145,7019531,202,112750072
rule,7,1,13,145,18282611,295,115434472
rule,7,1,13,145,10799232,240,118118872
rule,7,1,14,156,6610964,240,118118872
rule,7,1,14,156,7205125,285,120803256
rule,7,1,14,156,7269641,240,123488648
rule,7,1,14,156,7304100,275,123488648
rule,7,1,14,156,7306154,245,126173048
rule,7,1,14,156,7765774,302,128858440
rule,7,1,14,156,7495923,208,131543832
rule,7,1,14,156,7316835,342,131543832
rule,7,1,14,156,6540587,258,134217728
rule,7,1,14,156,13684459,223,9156440
rule,7,1,15,167,8065601,453,9156440
rule,7,1,15,167,7314807,315,11813976
rule,7,1,15,167,7354070,402,14471512
rule,7,1,15,167,8834111,207,17129064
rule,7,1,15,167,7745920,215,17129064
rule,7,1,15,167,7119766,208,19786616
rule,7,1,15,167,7320684,390,22444152
rule,7,1,15,167,7243828,355,25101688
rule,7,1,15,167,7185236,305,25101688
rule,7,1,15,167,7125358,253,27759272
rule,7,1,16,178,7923677,262,30416808
rule,7,1,16,178,20868119,227,33074344
rule,7,1,16,178,34280916,230,35731880
rule,7,1,16,178,7272239,268,38390424
rule,7,1,16,178,17352989,202,38390424
rule,7,1,16,178,16340982,235,41047960
rule,7,1,16,178,17324034,217,43705496
rule,7,1,16,178,7270953,240,46363032
rule,7,1,16,178,21641146,273,49020568
rule,7,1,16,178,7765184,230,51678344
rule,7,1,17,189,8522912,398,54335880
rule,7,1,17,189,28805994,202,54335880
rule,7,1,17,189,9218242,205,56993416
rule,7,1,17,189,18550292,450,59650952
rule,7,1,17,189,15626251,245,62308488
rule,7,1,17,189,18582011,395,64966024
rule,7,1,17,189,18483567,255,67624568
rule,7,1,17,189,19507878,260,70283112
rule,7,1,17,189,26102852,250,72941144
rule,7,1,17,189,12515445,303,75598680
rule,7,1,18,200,21203793,232,78256216
rule,7,1,18,200,18805105,252,80913768
rule,7,1,18,200,14262940,228,83571304
rule,7,1,18,200,16508760,268,86228888
rule,7,1,18,200,8035081,300,88886424
rule,7,1,18,200,8046599,280,91543960
rule,7,1,18,200,8097551,290,94201496
rule,7,1,18,200,8187155,640,96859032
rule,7,1,18,200,8103468,235,99516808
rule,7,1,18,200,8081909,208,102174344
rule,7,1,19,211,8779950,410,104831880
rule,7,1,19,211,8820884,307,107489912
rule,7,1,19,211,8789564,542,110147496
rule,7,1,19,211,8791294,258,112805032
rule,7,1,19,211,8801209,205,118120152
rule,7,1,19,211,8800326,205,120777688
rule,7,1,19,211,8795577,262,123435224
rule,7,1,19,211,10691683,203,126092760
rule,7,1,19,211,8862669,362,128750296
rule,7,1,19,211,19652303,215,131407832
rule,7,1,20,222,13150822,230,134065368
